"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2016-01-01","2016","01","01","","1.4","","-11.5","","-5.1","","23.1","","0.0","","","M","","M","0.0","","9","","","","<31",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2016-01-02","2016","01","02","","-2.1","","-11.7","","-6.9","","24.9","","0.0","","","M","","M","0.0","","9","","","","<31",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2016-01-03","2016","01","03","","-1.5","","-15.4","","-8.5","","26.5","","0.0","","","M","","M","0.0","","9","","","","<31",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2016-01-04","2016","01","04","","-7.3","","-19.7","","-13.5","","31.5","","0.0","","","M","","M","0.0","","9","","","","<31",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2016-01-05","2016","01","05","","-7.1","","-16.7","","-11.9","","29.9","","0.0","","","M","","M","0.0","","10","","","","<31",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2016-01-06","2016","01","06","","","M","-16.5","E","","M","","M","","M","","M","","M","","M","10","","","","<31",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2016-01-07","2016","01","07","","-8.0","","-12.7","","-10.4","","28.4","","0.0","","","M","","M","0.7","","12","","","","<31",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2016-01-08","2016","01","08","","-10.7","","-18.3","","-14.5","","32.5","","0.0","","","M","","M","0.2","","13","","","","<31",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2016-01-09","2016","01","09","","-16.2","","-22.5","","-19.4","","37.4","","0.0","","","M","","M","0.2","","13","","","","<31",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2016-01-10","2016","01","10","","-0.2","","-22.5","","-11.4","","29.4","","0.0","","","M","","M","0.3","","12","","","","<31",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2016-01-11","2016","01","11","","-1.9","","-12.0","","-7.0","","25.0","","0.0","","","M","","M","0.0","","12","","","","<31",""
