Date/Time,Air Quality Index,Carbon Monoxide,Hydrogen Sulphide,Methane,Nitric Oxide,Nitrogen Dioxide,Non-methane Hydrocarbons,Outdoor Air Temperature,Ozone,PM10 Mass,PM2.5 Mass,Relative Humidity,Std. Dev. of Wind Direction,Sulphur Dioxide,Total Hydrocarbons,Total Oxides Of Nitrogen,Wind Direction,Wind Speed
2016-08-15,2.175266666666667,0.1722333333333333,0.0001,1.87915,0.003,0.0092333333333333,0.0175,23.22136666666667,0.0215333333333333,,5.9583,48.0,23.10415,0.00115,1.9894333333333332,0.0122,239.27085,6.8375
2016-08-16,2.2545,0.1458333333333333,0.0002,1.9646,0.00255,0.00975,0.00415,22.522266666666667,0.0226999999999999,,8.7528,51.8333,17.879150000000003,0.0003,2.044433333333333,0.0123,252.16665,8.8125
2016-08-17,2.0821666666666667,0.1333333333333333,0.0002,1.94165,0.0030333333333333,0.0088,0.0521,19.95833333333333,0.0185333333333333,,6.012666666666667,50.625,21.41665,0.0001,2.095833333333333,0.0118333333333333,290.60415,9.2
2016-08-18,1.8747,0.1138666666666666,0.0003,1.9354,0.0035,0.0071333333333333,0.0146,17.056933333333333,0.0158666666666666,,4.208366666666667,53.7083,19.9375,0.00015,2.0396666666666667,0.0106666666666666,315.35415,9.89165
2016-08-19,2.1234,0.1597333333333333,0.0002,2.04285,0.0059,0.0107666666666666,0.075,17.462500000000002,0.0172333333333333,,4.868666666666667,53.9583,25.125,0.0003,2.1954333333333333,0.0166666666666666,190.6875,7.3625
2016-08-20,2.2482333333333333,0.1930666666666666,0.0011,2.0208500000000003,0.0041,0.0108333333333333,0.0729,19.9264,0.0189,,7.869966666666666,54.9167,26.7917,0.001,2.180566666666667,0.0149333333333333,217.02085,5.583349999999999
2016-08-21,2.283533333333333,0.1083333333333333,0.0007,1.9146,0.0018,0.0063333333333333,0.125,19.59303333333333,0.0253666666666666,,4.125,67.2083,28.5833,0.0026,2.0694666666666666,0.0081666666666666,153.79165,5.69165
2016-08-22,1.8877666666666664,0.1041666666666666,0.0005,1.8917,0.0028666666666666,0.0072,0.0354,14.344433333333331,0.0168666666666666,,3.3958500000000003,81.6667,23.66665,0.0002,1.9750000000000003,0.0100333333333333,225.10415,10.63125
2016-08-23,1.8583666666666667,0.1083333333333333,0.0001,1.91875,0.0023333333333333,0.0062666666666666,0.0104,13.680566666666666,0.0161333333333333,,3.017333333333333,86.5417,14.58335,0.0,2.0055666666666667,0.0085666666666666,335.375,14.2396
2016-08-24,1.9620666666666668,0.1486333333333333,0.0004,2.05,0.0053,0.0097333333333333,0.1042,17.2097,0.0161333333333333,,4.3466,65.5,25.35415,0.0002,2.2125,0.0150666666666666,237.7292,5.6896
2016-08-25,1.7682,0.1333333333333333,0.0002,2.025,0.0031666666666666,0.0073333333333333,0.0375,15.752,0.0144,,4.617166666666667,77.6667,18.91665,0.0,2.11665,0.0105,282.5625,8.1979
2016-08-26,1.9582333333333333,0.151,0.0003,2.0125,0.0056333333333333,0.0081666666666666,0.0375,17.006400000000003,0.0162,,4.2926,66.0,18.6458,0.00035,2.11875,0.0138,185.10415,7.410449999999999
2016-08-27,1.8867333333333327,0.1305666666666666,0.0007,1.96045,0.0034,0.00795,0.0125,16.141766666666665,0.0173666666666666,,4.208349999999999,72.75,20.1458,0.0001,2.0625,0.0114,222.6875,8.33125
2016-08-28,2.0740333333333334,0.0958333333333333,0.0003,1.9625,0.00155,0.0047,0.0458,11.884733333333337,0.021,,1.375,62.125,21.2292,0.0,2.1229,0.00625,270.8125,12.61665
2016-08-29,2.079133333333333,0.1275,0.0005,1.9771,0.00425,0.0087999999999999,0.0,14.9458,0.0207333333333333,,2.8851,56.5417,21.5208,0.00045,2.0996,0.0130499999999999,118.35415,9.0375
2016-08-30,2.1409333333333334,0.1374999999999999,0.0,2.01875,0.009,0.0102666666666666,0.0167,18.763900000000003,0.0220333333333333,,4.1256,54.4167,19.08335,5e-05,2.1500000000000004,0.0192333333333333,108.7375,11.5771
2016-08-31,2.4057666666666666,0.2305333333333333,0.0009,2.0521000000000003,0.0043,0.0119666666666666,0.2375,20.894433333333332,0.0219,,12.470233333333333,60.75,22.16665,0.00035,2.3021000000000003,0.0162,120.54165,5.8729
2016-09-01,2.408233333333333,0.2319333333333333,0.0008,2.26875,0.0067666666666666,0.0112,0.2083,17.01665,0.0165666666666666,,8.5006,63.0,21.25,0.0001,2.5875000000000004,0.0179666666666666,277.64585,7.30415
2016-09-02,2.034566666666666,0.1625,0.0006,2.03125,0.0039,0.0078,0.1333,11.55415,0.0167333333333333,,5.384266666666666,84.4583,16.75,0.00025,2.1667,0.0117,205.9167,10.14375
2016-09-03,1.5177333333333334,0.1389,0.0003,1.975,0.0017666666666666,0.0035666666666666,0.0375,10.45835,0.0102666666666666,,1.3125,73.7083,17.5208,0.00035,2.0479000000000003,0.0053333333333333,280.6042,11.3354
2016-09-04,1.7534,0.1236333333333333,0.0,1.99585,0.0013333333333333,0.0044666666666666,0.0,8.13125,0.0152,,2.4583,68.2083,22.0,0.00035,2.06045,0.0057666666666666,264.4583,6.01665
