"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2015-02-02","2015","02","02","","-13.1","","-16.9","","-15.0","","33.0","","0.0","","","M","","M","","M","","","","M","","M"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2015-02-03","2015","02","03","","-13.3","","-21.6","","-17.5","","35.5","","0.0","","","M","","M","","M","","","","M","","M"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2015-02-04","2015","02","04","","-0.6","","-20.7","","-10.7","","28.7","","0.0","","","M","","M","","M","","","","M","","M"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2015-02-05","2015","02","05","","-4.4","","-18.1","","-11.3","","29.3","","0.0","","","M","","M","","M","","","","M","","M"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2015-02-06","2015","02","06","","-16.5","","-18.1","","-17.3","","35.3","","0.0","","","M","","M","","M","","","","M","","M"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2015-02-07","2015","02","07","","-13.0","","-18.4","","-15.7","","33.7","","0.0","","","M","","M","","M","","","","M","","M"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2015-02-08","2015","02","08","","-12.7","","-17.7","","-15.2","","33.2","","0.0","","","M","","M","","M","","","","M","","M"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2015-02-09","2015","02","09","","-14.5","","-18.3","","-16.4","","34.4","","0.0","","","M","","M","","M","","","","M","","M"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2015-02-10","2015","02","10","","-11.7","","-14.8","","-13.3","","31.3","","0.0","","","M","","M","","M","","","","M","","M"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2015-02-11","2015","02","11","","-10.0","","-16.4","","-13.2","","31.2","","0.0","","","M","","M","","M","","","","M","","M"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2015-02-12","2015","02","12","","4.9","","-10.0","","-2.6","","20.6","","0.0","","","M","","M","","M","","","","M","","M"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2015-02-13","2015","02","13","","2.7","","-6.2","","-1.8","","19.8","","0.0","","","M","","M","","M","","","","M","","M"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2015-02-14","2015","02","14","","2.9","","-9.9","","-3.5","","21.5","","0.0","","","M","","M","","M","","","","M","","M"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2015-02-15","2015","02","15","","3.5","","0.5","","2.0","","16.0","","0.0","","","M","","M","","M","","","","M","","M"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2015-02-16","2015","02","16","","1.2","","-14.1","","-6.5","","24.5","","0.0","","","M","","M","","M","","","","M","","M"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2015-02-17","2015","02","17","","-6.2","","-18.7","","-12.5","","30.5","","0.0","","","M","","M","","M","","","","M","","M"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2015-02-18","2015","02","18","","4.7","","-6.7","","-1.0","","19.0","","0.0","","","M","","M","","M","","","","M","","M"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2015-02-19","2015","02","19","","6.2","","-0.8","","2.7","","15.3","","0.0","","","M","","M","","M","","","","M","","M"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2015-02-20","2015","02","20","","3.1","","-7.1","","-2.0","","20.0","","0.0","","","M","","M","","M","","","","M","","M"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2015-02-21","2015","02","21","","-7.1","","-15.3","","-11.2","","29.2","","0.0","","","M","","M","","M","","","","M","","M"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2015-02-22","2015","02","22","","0.3","","-16.4","","-8.1","","26.1","","0.0","","","M","","M","","M","","","","M","","M"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2015-02-23","2015","02","23","","8.1","","-2.0","","3.1","","14.9","","0.0","","","M","","M","","M","","","","M","","M"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2015-02-24","2015","02","24","","6.6","","-8.0","","-0.7","","18.7","","0.0","","","M","","M","","M","","","","M","","M"
