Date/Time,Air Quality Index,Carbon Monoxide,Hydrogen Sulphide,Methane,Nitric Oxide,Nitrogen Dioxide,Non-methane Hydrocarbons,Outdoor Air Temperature,Ozone,PM10 Mass,PM2.5 Mass,Relative Humidity,Std. Dev. of Wind Direction,Sulphur Dioxide,Total Hydrocarbons,Total Oxides Of Nitrogen,Wind Direction,Wind Speed
2018-07-27,2.878,0.27540000000000003,0.0003,2.0435,0.004166666666666667,0.009,0.08839999999999999,20.21045,0.03353333333333333,,13.375,51.625,37.39765,0.00030000000000000003,2.1304333333333334,0.013166666666666667,173.75815,5.110799999999999
2018-07-28,3.3298,0.28550000000000003,0.0002,2.0203,0.0017333333333333333,0.008366666666666666,0.0913,21.97295,0.041666666666666664,,15.625,46.1042,34.25,0.00055,2.1087000000000002,0.0101,197.85415,5.15625
2018-07-29,3.3021666666666665,0.29706666666666665,0.0001,2.0217666666666667,0.0008,0.007333333333333333,0.06376666666666667,23.941650000000003,0.0424,,16.1875,43.7708,27.6875,0.0015999999999999999,2.0855333333333337,0.008133333333333333,214.8958,6.02085
2018-07-30,2.3539333333333334,0.2565,0.0003,2.0098333333333334,0.0019,0.006999999999999999,0.11736666666666666,22.4208,0.025233333333333333,,11.75595,56.208349999999996,25.5,0.0003,2.1228666666666665,0.00885,238.10415,9.2854
2018-07-31,2.5112,0.2348,0.0002,1.9550999999999998,0.0028666666666666667,0.005933333333333333,0.08693333333333335,21.74585,0.028366666666666665,,9.525266666666667,60.229150000000004,25.956400000000002,5e-05,2.0405666666666664,0.008833333333333334,158.00755,8.98975
2018-08-01,2.9183,0.2522,0.0002,1.9550666666666665,0.0023,0.0067,0.05216666666666667,22.7625,0.0363,,11.944433333333334,56.229150000000004,26.60415,0.0011,2.0130333333333335,0.009,232.33335,10.3729
2018-08-02,2.4446333333333334,0.24783333333333332,0.0009,1.9289666666666667,0.0021,0.007933333333333332,0.05653333333333333,17.9229,0.028833333333333332,,8.708366666666667,68.25,20.72915,0.0018,1.9811666666666667,0.010066666666666666,237.79165,8.86665
2018-08-03,2.6662666666666666,0.2623,0.0004,1.9188333333333334,0.002433333333333334,0.0067,0.06953333333333334,17.1042,0.019299999999999998,,16.25,72.9375,27.8125,0.00215,1.9869666666666665,0.0091,256.79165,11.35415
2018-08-04,2.1961666666666666,0.25653333333333334,0.0002,1.9173666666666669,0.0012666666666666666,0.004166666666666667,0.020266666666666665,16.9604,0.014899999999999998,,11.972233333333334,79.8333,21.0417,5e-05,1.9362333333333333,0.005399999999999999,304.95835,8.78125
2018-08-05,2.413133333333333,0.28403333333333336,0.0001,1.9768,0.0012666666666666666,0.005399999999999999,0.05506666666666666,19.74165,0.020666666666666667,,13.088466666666667,63.270849999999996,30.8125,5e-05,2.028966666666667,0.006633333333333334,244.27085,4.8375
2018-08-06,2.7835666666666667,0.25943333333333335,0.0001,1.9724666666666666,0.0013333333333333333,0.0068,0.057966666666666666,22.4125,0.025933333333333336,,16.180566666666667,50.375,21.4375,0.0019,2.021733333333333,0.008133333333333333,229.125,8.775
2018-08-07,3.718666666666667,0.3753666666666667,0.0003,1.9739333333333333,0.003966666666666667,0.009333333333333334,0.09563333333333333,21.58335,0.0236,,45.125,47.104150000000004,24.375,0.00025,2.0681,0.01333333333333333,250.16665,8.3271
2018-08-08,4.6366000000000005,0.48843333333333333,0.0003,2.0319,0.003666666666666667,0.013999999999999999,0.16956666666666667,21.75625,0.027666666666666662,,59.4167,52.145849999999996,23.75,0.0007,2.1985333333333332,0.017633333333333334,206.0625,5.8896
2018-08-09,4.584533333333333,0.4232,0.0003,2.0304333333333333,0.0033666666666666667,0.013833333333333331,0.13913333333333333,25.84375,0.0385,,44.3611,42.791650000000004,24.375,0.00055,2.169566666666667,0.017266666666666666,177.35415,6.71045
2018-08-10,6.346866666666666,0.6973333333333334,0.001,2.0444333333333335,0.00375,0.013649999999999999,0.3293,24.84585,0.03453333333333333,,100.73610000000001,42.9167,22.33335,0.00125,2.3772333333333333,0.0174,147.5833,9.33125
