Date/Time,Air Quality Index,Carbon Monoxide,Methane,Nitric Oxide,Nitrogen Dioxide,Outdoor Air Temperature,Ozone,PM10 Mass,PM2.5 Mass,Relative Humidity,Sulphur Dioxide,Wind Direction
2015-02-05 00:00:00,2.348233333,0.168066667,1.95205,0.0096,0.0149,-10.62915,0.024633333,2.9167,7.6739,73.8333,0.0019,73.6875
2015-02-06 00:00:00,2.436733333,0.1777,1.9687,0.012233333,0.0144,-12.75625,0.024466667,4.8261,7.80705,73.1667,0.00055,99.625
2015-02-07 00:00:00,2.3479,0.1871,1.9479,0.008666667,0.013266667,-11.13333333,0.0229,8.5,8.271733333,67.375,0.0009,128.0417
2015-02-08 00:00:00,2.384466667,0.195833333,2.0875,0.007833333,0.016633333,-9.544433333,0.017633333,10.1667,12.373,69.8333,0.001,151.8958
2015-02-09 00:00:00,2.3027,0.2111,2.1042,0.010733333,0.017466667,-12.11466667,0.016833333,,12.14165,75.7083,0.0008,150.60415
2015-02-10 00:00:00,2.135633333,0.216666667,2.1083,0.007633333,0.014933333,-11.11113333,0.0146,,11.97915,68.625,0.0007,294.6875
2015-02-11 00:00:00,2.1279,0.2064,2.0004,0.008366667,0.012933333,-12.20693333,0.017633333,7.9583,9.25,74.375,0.001,132
2015-02-12 00:00:00,3.0094,0.357333333,2.16475,0.029366667,0.0287,-1.15415,0.005466667,14.375,24.4275,71.7083,0.0012,205.8958
2015-02-13 00:00:00,3.032566667,0.405533333,2.36875,0.042866667,0.026033333,0.6375,0.0093,15.6667,23.52085,80,0.00115,136.27085
2015-02-14 00:00:00,2.4019,0.25,1.9917,0.0065,0.015133333,-2.718066667,0.0227,6.5,8.946233333,73.25,0.0007,186.16665
2015-02-15 00:00:00,2.631633333,0.158333333,1.9167,0.0016,0.007266667,4.0472,0.032133333,3.6667,4.3728,59.125,0.0008,296.33335
2015-02-16 00:00:00,2.595033333,0.194433333,1.9458,0.010733333,0.017666667,-5.215266667,0.021,6.2727,8.907,76.0417,0.0007,169.1875
2015-02-17 00:00:00,3.015166667,0.37915,2.2042,0.047266667,0.032433333,-9.3222,0.012166667,11.625,18.8611,78.375,0.001,177.22915
2015-02-18 00:00:00,3.343366667,0.4464,2.2375,0.043333333,0.034633333,0.730566667,0.0058,17.4167,24.63886667,76.125,0.001,158.1875
2015-02-19 00:00:00,2.824933333,0.2625,2.025,0.016533333,0.0198,4.704133333,0.0197,7.6667,11.72223333,69.375,0.0007,264.52085
2015-02-20 00:00:00,2.368166667,0.17085,1.8542,0.004666667,0.009866667,-1.3097,0.027,2.6957,4.3048,76.125,0.00065,276.3125
2015-02-21 00:00:00,2.499766667,0.138866667,1.94165,0.006866667,0.015333333,-10.20833333,0.0251,10.5455,6.541666667,62.9583,0.00065,151.54165
2015-02-22 00:00:00,2.401833333,0.177766667,2.0354,0.006433333,0.019833333,-6.0403,0.0207,12.0417,11.71073333,63.375,0.00075,184.5208
2015-02-23 00:00:00,2.496,0.256966667,1.94375,0.0169,0.022066667,6.168066667,0.0185,9.0417,5.1995,59.5417,0.00065,257.33335
2015-02-24 00:00:00,2.4399,0.156933333,1.9375,0.007233333,0.017633333,2.743033333,0.020233333,3.6667,5.5655,73.2917,0.0008,211.4375
2015-02-25 00:00:00,2.4148,0.133333333,1.9458,0.0101,0.0156,-12.04583333,0.026166667,7.1905,6.541666667,69.5,0.0017,105.25
2015-02-26 00:00:00,2.3974,0.144266667,2.0333,0.005833333,0.016233333,-12.33193333,0.025433333,8.4583,7.6131,62.7917,0.0006,167.4792
2015-02-27 00:00:00,2.3849,0.144433333,1.96095,0.0072,0.0179,-9.4264,0.0197,6.3182,9.775766667,72.4583,0.0007,286.52085
2015-02-28 00:00:00,2.562733333,0.147233333,2.0125,0.0052,0.019033333,-6.1125,0.022266667,7.7083,7.2462,65.9167,0.00075,271.97915
2015-03-01 00:00:00,2.6221,0.152766667,2.025,0.005266667,0.020866667,-4.469466667,0.024033333,8.4167,7.766933333,65.5417,0.00075,183.9375
2015-03-02 00:00:00,2.812633333,0.120833333,1.9167,0.003,0.007566667,-6.9875,0.035133333,7.0833,6.5666,62.4167,0.0005,327.4583
2015-03-03 00:00:00,2.599266667,0.143066667,1.88615,0.005566667,0.015233333,-12.27636667,0.028866667,15.5,7.2963,48.9583,0.00065,285.1667
2015-03-04 00:00:00,2.7371,0.211133333,1.9917,0.012633333,0.025933333,-9.3736,0.019666667,33.4167,13.0972,52.875,0.0006,177.5417
2015-03-05 00:00:00,2.685733333,0.156966667,1.925,0.0064,0.022233333,2.829166667,0.024633333,19.0833,7.232333333,49.0833,0.00115,235.89585
2015-03-06 00:00:00,2.564933333,0.1236,1.84795,0.002633333,0.0121,5.994466667,0.029366667,4.9167,2.994966667,59.2083,0.00055,276.83335
2015-03-07 00:00:00,2.601433333,0.143033333,1.8979,0.002233333,0.0149,4.313866667,0.028466667,8.3333,5.043666667,51.4167,0.00075,237.60415
2015-03-08 00:00:00,2.661566667,0.131966667,1.88125,0.002033333,0.012466667,7.693033333,0.032566667,7.625,5.519833333,47.0417,0.00085,228.6875
2015-03-09 00:00:00,2.562833333,0.151366667,1.84585,0.0044,0.0178,7.986133333,0.023666667,5.7083,4.7897,61.4167,0.00065,252.5625
2015-03-10 00:00:00,2.547966667,0.243066667,1.8771,0.007933333,0.0193,4.684733333,0.0231,11.4583,7.444433333,65.3333,0.0009,135.39585
2015-03-11 00:00:00,2.385466667,0.284966667,1.925,0.008866667,0.016233333,4.249966667,0.022033333,13.8636,9.834633333,74.5,0.0008,110.60415
2015-03-12 00:00:00,2.575033333,0.332233333,1.98515,0.009466667,0.019466667,8.2236,0.0153,17.5,14.16363333,67.4583,0.00155,186.10415
2015-03-13 00:00:00,2.5705,0.349966667,1.91815,0.010233333,0.0224,10.95553333,0.020333333,28.6667,9.282,49.4583,0.00055,173.2708
2015-03-14 00:00:00,2.629866667,0.218066667,1.8542,0.0055,0.013466667,13.15136667,0.029933333,25.7083,7.884066667,39.9583,0.0009,206.6875
