"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2017-01-01","2017","01","01","","-8.8","","-17.1","","-13.0","","31.0","","0.0","","","M","","M","0.2","","11","","31","","32",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2017-01-02","2017","01","02","","-14.0","","-22.1","","-18.1","","36.1","","0.0","","","M","","M","0.2","","9","","","","<31",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2017-01-03","2017","01","03","","-13.3","","-21.0","","-17.2","","35.2","","0.0","","","M","","M","0.0","","10","","","","<31",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2017-01-04","2017","01","04","","-7.3","","-14.4","","-10.9","","28.9","","0.0","","","M","","M","0.0","","10","","","","<31",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2017-01-05","2017","01","05","","-5.7","","-15.7","","-10.7","","28.7","","0.0","","","M","","M","1.8","","10","","","","<31",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2017-01-06","2017","01","06","","-13.0","","-16.2","","-14.6","","32.6","","0.0","","","M","","M","0.4","","12","","14","","32",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2017-01-07","2017","01","07","","-15.3","","-20.2","","-17.8","","35.8","","0.0","","","M","","M","0.0","","13","","35","","32",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2017-01-08","2017","01","08","","-17.6","","-21.3","","-19.5","","37.5","","0.0","","","M","","M","0.4","","13","","","","<31",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2017-01-09","2017","01","09","","-16.9","","-20.1","","-18.5","","36.5","","0.0","","","M","","M","4.0","","14","","","","<31",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2017-01-10","2017","01","10","","-17.2","","-25.5","","-21.4","","39.4","","0.0","","","M","","M","0.7","","16","","34","","46",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2017-01-11","2017","01","11","","-5.1","","-25.3","","-15.2","","33.2","","0.0","","","M","","M","0.0","","15","","35","","63",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2017-01-12","2017","01","12","","-13.4","","-25.6","","-19.5","","37.5","","0.0","","","M","","M","0.0","","23","","","","<31",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2017-01-13","2017","01","13","","-2.6","","-19.9","","-11.3","","29.3","","0.0","","","M","","M","0.0","","23","","","","<31",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2017-01-14","2017","01","14","","0.5","","-13.3","","-6.4","","24.4","","0.0","","","M","","M","0.0","","23","","","","<31",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2017-01-15","2017","01","15","","7.5","","-4.4","","1.6","","16.4","","0.0","","","M","","M","0.0","","23","","","","<31",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2017-01-16","2017","01","16","","4.3","","-6.5","","-1.1","","19.1","","0.0","","","M","","M","0.0","","22","","","","<31",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2017-01-17","2017","01","17","","7.5","","-0.9","","3.3","","14.7","","0.0","","","M","","M","0.0","","22","","","","<31",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2017-01-18","2017","01","18","","8.6","","-1.5","","3.6","","14.4","","0.0","","","M","","M","0.0","","22","","","","<31",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2017-01-19","2017","01","19","","5.6","","-2.9","","1.4","","16.6","","0.0","","","M","","M","0.0","","21","","","","<31",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2017-01-20","2017","01","20","","6.0","","-7.1","","-0.6","","18.6","","0.0","","","M","","M","0.0","","21","","","","<31",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2017-01-21","2017","01","21","","-3.8","","-9.7","","-6.8","","24.8","","0.0","","","M","","M","0.0","","20","","","","<31",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2017-01-22","2017","01","22","","-5.7","","-9.4","","-7.6","","25.6","","0.0","","","M","","M","0.0","","21","","","","<31",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2017-01-23","2017","01","23","","-8.6","","-9.7","","-9.2","","27.2","","0.0","","","M","","M","0.0","","21","","","","<31",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2017-01-24","2017","01","24","","-2.8","","-11.0","","-6.9","","24.9","","0.0","","","M","","M","0.0","","21","","","","<31",""
